space_group_number,space_group,point_group,laue_class,lunus_number
1,P 1,1,-1,0
3,P 2,2,2/m,1
4,P 21,2,2/m,1
5,C 2,2,2/m,1
16,P 2 2 2,222,mmm,2
17,P 2 2 21,222,mmm,2
18,P 21 21 2,222,mmm,2
19,P 21 21 21,222,mmm,2
20,C 2 2 21,222,mmm,2
21,C 2 2 2,222,mmm,2
22,F 2 2 2,222,mmm,2
23,I 2 2 2,222,mmm,2
24,I 21 21 21,222,mmm,2
75,P 4,4,4/m,3
76,P 41,4,4/m,3
77,P 42,4,4/m,3
78,P 43,4,4/m,3
79,I 4,4,4/m,3
80,I 41,4,4/m,3
89,P 4 2 2,422,4/mmm,4
90,P 4 21 2,422,4/mmm,4
91,P 41 2 2,422,4/mmm,4
92,P 41 21 2,422,4/mmm,4
93,P 42 2 2,422,4/mmm,4
94,P 42 21 2,422,4/mmm,4
95,P 43 2 2,422,4/mmm,4
96,P 43 21 2,422,4/mmm,4
97,I 4 2 2,422,4/mmm,4
98,I 41 2 2,422,4/mmm,4
143,P 3,3,-3,5
144,P 31,3,-3,5
145,P 32,3,-3,5
146,R 3,3,-3,5
149,P 3 1 2,32,-3m,6
150,P 3 2 1,32,-3m,6
151,P 31 1 2,32,-3m,6
152,P 31 2 1,32,-3m,6
153,P 32 1 2,32,-3m,6
154,P 32 2 1,32,-3m,6
155,R 3 2,32,-3m,6
168,P 6,6,6/m,7
169,P 61,6,6/m,7
170,P 65,6,6/m,7
171,P 62,6,6/m,7
172,P 64,6,6/m,7
173,P 63,6,6/m,7
177,P 6 2 2,622,6/mmm,8
178,P 61 2 2,622,6/mmm,8
179,P 65 2 2,622,6/mmm,8
180,P 62 2 2,622,6/mmm,8
181,P 64 2 2,622,6/mmm,8
182,P 63 2 2,622,6/mmm,8
195,P 2 3,23,m-3,9
196,F 2 3,23,m-3,9
197,I 2 3,23,m-3,9
198,P 21 3,23,m-3,9
199,I 21 3,23,m-3,9
207,P 4 3 2,432,m-3m,10
208,P 42 3 2,432,m-3m,10
209,F 4 3 2,432,m-3m,10
210,F 41 3 2,432,m-3m,10
211,I 4 3 2,432,m-3m,10
212,P 43 3 2,432,m-3m,10
213,P 41 3 2,432,m-3m,10
214,I 41 3 2,432,m-3m,10
